region,male,female,total,ftom
1,349,409,758,1.17
2,10033,12034,22067,1.2
3,1357,1631,2988,1.2
4,395,438,833,1.11
5,4157,4621,8778,1.11
6,10,5,15,0.5
7,1738,2113,3851,1.22
8,129,181,310,1.4
9,316,393,709,1.24
10,33,83,116,2.52
11,1215,1448,2663,1.19
12,1319,1511,2830,1.15
13,3177,2923,6100,0.92
14,1459,1699,3158,1.16
15,5461,6011,11472,1.1
16,434,652,1086,1.5
17,154,213,367,1.38
18,2228,2700,4928,1.21
19,565,599,1164,1.06
20,5152,5683,10835,1.1
21,4695,5642,10337,1.2
22,2174,2451,4625,1.13
23,18755,21607,40362,1.15
24,5798,7266,13064,1.25
25,2247,2740,4987,1.22
26,11679,13957,25636,1.2
27,5138,6152,11290,1.2
28,2045,2489,4534,1.22
29,1228,1407,2635,1.15
30,563,682,1245,1.21
31,1000,1282,2282,1.28
32,6289,5955,12244,0.95
33,1318,1641,2959,1.25
34,2572,3221,5793,1.25
35,840,1171,2011,1.39
36,5477,7032,12509,1.28
37,157,217,374,1.38
38,2098,2842,4940,1.35
39,3882,4236,8118,1.09
40,555,723,1278,1.3
41,151,175,326,1.16
42,7223,9281,16504,1.28
43,1512,1755,3267,1.16
44,125,153,278,1.22
45,624,627,1251,1
46,3336,3813,7149,1.14
47,787,891,1678,1.13
48,1411,1305,2716,0.92
49,160,228,388,1.43
50,33226,37648,70874,1.13
51,107,118,225,1.1
52,1630,1996,3626,1.22
53,1582,1770,3352,1.12
54,11686,13668,25354,1.17
55,5188,5296,10484,1.02
56,6795,7714,14509,1.14
57,75,89,164,1.19
58,5005,4858,9863,0.97
59,2575,3290,5865,1.28
60,462,525,987,1.14
61,7294,8754,16048,1.2
62,869,958,1827,1.1
63,20805,22152,42957,1.06
64,5303,5463,10766,1.03
65,2100,2334,4434,1.11
66,5015,5858,10873,1.17
67,896,1111,2007,1.24
68,2977,3691,6668,1.24
69,78,115,193,1.47
70,1081,1128,2209,1.04
71,2813,3293,6106,1.17
72,5412,6450,11862,1.19
73,787,851,1638,1.08
74,6195,6610,12805,1.07
75,2045,2232,4277,1.09
76,972,1061,2033,1.09
77,3932,4681,8613,1.19
78,2875,3170,6045,1.1
79,342,421,763,1.23
83,380,471,851,1.24
86,5666,5926,11592,1.05
87,171,191,362,1.12
89,977,1144,2121,1.17
91,69,101,170,1.46
92,85,79,164,0.93
99,32,9,41,0.28
total,281022,321514,602536,1.14
